,rerr,terr
0,0.20230861,0.31977466
1,0.0447248,0.15016264
2,0.07917798,0.048284054
3,0.17734587,0.26609743
4,0.09799407,0.032895263
5,0.5924501,0.4139135
6,0.0447248,0.003022898
7,0.41285685,0.67078686
8,0.5566332,0.36183262
9,0.16351126,0.07135352
10,0.11276283,0.12124056
11,0.0447248,0.026203308
12,0.19410735,0.2414702
13,0.5412903,0.4646614
14,0.2147568,0.2952188
15,0.11961747,0.24619025
16,0.13523968,0.19988543
17,0.1918116,0.28483078
18,0.0447248,0.048122518
19,0.0447248,0.031533584
20,0.3226711,0.3234496
21,0.34668028,0.36568788
22,0.5516688,0.44978243
23,0.075815074,0.27485776
24,0.23129411,0.12080209
25,0.41976905,0.07584121
26,0.0447248,0.038944956
27,0.13517068,0.088393204
28,0.36674535,0.27949184
29,0.16482057,0.07598359
30,0.5433944,0.42398354
31,0.2681382,0.41837376
32,0.0447248,0.005573309
33,0.42241305,0.1280939
34,0.66938967,0.39761138
35,0.32933953,0.35423934
36,0.0447248,0.013084698
37,0.12012786,0.27355036
38,0.12244916,0.15432173
39,0.5486111,0.3665167
40,0.22367999,0.15395477
41,0.5783847,0.067304105
42,0.0447248,0.025667848
43,0.12215797,0.0670556
44,0.0447248,0.057784665
45,0.19880863,0.1402108
46,0.22183183,0.17206277
47,0.24077086,0.15147422
48,0.3685824,0.45894703
49,0.28212452,0.13278145
50,0.20547895,0.23335694
51,0.0447248,0.013564271
52,0.0447248,0.022076255
53,0.41609174,0.17333831
54,0.2550624,0.6878522
55,0.21946411,0.23926827
56,0.0447248,0.00675475
57,0.37297812,0.27467507
58,0.07381833,0.27394956
59,0.40489098,0.26079538
60,0.6240158,0.43349648
61,0.0447248,0.02415229
62,0.29656148,0.40707207
63,0.18950929,0.20092355
64,0.39666963,0.076596186
65,0.47745165,0.6231021
66,0.39120153,0.19972847
67,0.42252353,0.039047994
68,0.30004087,0.23070465
69,0.20972359,0.22380419
70,0.44735757,0.2122955
71,0.3587406,0.14711575
72,0.0507021,0.036979336
73,0.0447248,0.01488708
74,0.1535543,0.47605464
75,0.08347606,0.013617891
76,0.20689157,0.12176558
77,0.40109193,0.14706035
78,0.39009768,0.056072686
79,0.35927498,0.47315443
80,0.115692355,0.4058475
81,0.0447248,0.04864819
82,0.23382808,0.6810538
83,0.46403053,0.5550538
84,0.31753927,0.3768615
85,0.55996794,0.46656764
86,0.4288743,0.07592165
87,0.48429286,0.48043466
88,0.36924985,0.60051244
89,0.0447248,0.10868934
90,0.35177755,0.59509414
91,0.56763947,0.5354101
92,0.046649788,0.034522258
93,0.32943276,0.31883374
94,0.34853184,0.61100554
95,0.050310124,0.030786484
96,0.24955752,0.32392928
97,0.26089746,0.71084404
98,0.11834807,0.14151579
99,0.3970348,0.21836588
100,0.046187356,0.17654857
101,0.086845286,0.25735527
102,0.35637608,0.45787257
