,rerr,terr
0,1.8808169,0.8471855
1,2.3804648,1.231227
2,3.0605717,1.0613191
3,2.6352873,0.49276358
4,2.609239,1.0315629
5,1.5698729,0.446866
6,3.0968678,0.67813647
7,2.3788226,1.1710441
8,2.8237965,0.6472559
9,3.0968678,1.0096622
10,2.7069159,0.79896945
11,2.5758932,0.3261811
12,1.8966179,1.0980577
13,2.895263,1.3290085
14,2.1304975,1.1598064
15,2.7903774,1.1673906
16,1.0927144,0.95172226
17,3.0968678,0.99579287
18,2.505149,0.7315412
19,2.2048268,1.1408716
20,0.12918273,0.9660835
21,2.412089,0.8006343
22,2.2729163,1.0117284
23,2.1809454,0.8945034
24,2.3285758,1.2515563
25,2.5849788,0.9900897
26,2.8697672,0.6989272
27,2.707632,1.0174718
28,0.7973796,0.95123017
29,2.6499047,1.2069559
30,1.6739255,0.9899675
31,1.5115026,0.6983405
32,2.6663914,0.56766796
33,2.172292,1.3596897
34,1.9191875,1.4289125
35,2.8659291,1.0929608
36,0.81895214,1.0595791
37,2.0153854,1.2405881
38,2.640389,1.0861748
39,1.5181105,0.80847865
40,1.2101827,1.1179954
41,3.0806026,0.39139703
42,2.481577,1.2534583
43,2.4344578,1.0103004
44,2.4894595,1.2071925
45,1.9817609,1.0895028
46,3.024639,0.44519398
47,2.0967317,0.7565326
48,3.0968678,1.3065308
49,3.0065117,1.5890089
50,3.0968678,1.1495359
51,2.947814,1.0406172
52,2.4522145,0.82103145
53,1.3599033,0.8110769
54,2.5731406,1.0447843
55,2.551147,0.7916989
56,1.6571532,1.2589107
57,3.0368006,0.72178334
58,2.7790296,1.3103015
59,2.1091166,1.0644616
60,2.840745,1.0500003
61,1.9667954,1.1387115
62,0.6534746,0.5361199
63,2.5298548,1.07948
64,2.0019674,1.1910993
65,2.8925164,0.9252082
66,1.8629428,0.76452446
67,3.0968678,1.0158397
68,2.061174,1.0548968
69,2.324527,1.0581567
70,2.8597,1.0481437
71,1.7563454,1.2923689
72,2.2604914,0.95700103
