,rerr,terr
0,0.33679235,0.2145179
1,0.3264813,0.67561144
2,0.063723534,0.5715315
3,0.19178598,0.10757677
4,0.14240968,0.33098176
5,0.08240549,0.13717972
6,0.41338304,0.14887542
7,0.27968767,0.4149851
8,0.10680136,0.053809673
9,0.098539636,0.08377537
10,0.0447248,0.007145696
11,0.1299338,0.41620415
12,0.38293684,0.2550189
13,0.08281866,0.19412038
14,0.3169263,0.43566105
15,0.24270497,0.12757629
16,0.4374392,0.5602945
17,0.2613269,0.18860257
18,0.15801972,0.5679488
19,0.08609022,0.20239869
20,0.15415095,0.13822572
21,0.14024226,0.10128047
22,0.16795945,0.041811522
23,0.24047022,0.5425898
24,0.23820075,0.20021482
25,0.7535388,0.1004506
26,0.0447248,0.011918381
27,0.22489667,0.22707511
28,0.07130751,0.014431783
29,0.21557754,0.4438179
30,0.28418455,0.16401944
31,0.22708431,0.56970847
32,0.25886786,0.49264768
33,0.4676463,0.299956
34,0.34569693,0.26362684
35,0.19735052,0.61187863
36,0.14128906,0.22450306
37,0.3337515,0.25741172
38,0.26574847,0.16391534
39,0.056306075,0.03783261
40,0.0447248,0.057426065
41,0.053065125,0.24873407
42,0.10974895,0.12269864
43,0.3836633,0.3022041
44,0.11726791,0.042459596
45,0.2471136,0.10319378
46,0.2654978,0.077247605
47,0.17819661,0.4057072
48,0.0447248,0.004913086
49,0.1488517,0.3778781
50,0.26206276,0.26483026
51,0.0447248,0.02304241
52,0.3198142,0.7226106
53,0.4116221,0.22155954
54,0.0447248,0.012202799
55,0.4810807,0.5140957
56,0.30138227,0.2263572
57,0.18154694,0.16923553
58,0.37861356,0.59999204
59,0.05060321,0.22301151
60,0.17320448,0.68405235
61,0.46789405,0.55612236
62,0.5643914,0.23253489
63,0.11608824,0.07801769
64,0.1448433,0.2327959
65,0.23544581,0.7242584
66,0.12763087,0.0642632
67,0.4341379,0.5278353
68,0.6513947,0.22870205
69,0.36469832,0.53886265
70,0.0447248,0.026348861
71,0.4367315,0.60776716
72,0.32739484,0.38024566
73,0.5799581,0.40588707
74,0.0447248,0.022045208
75,0.0447248,0.0039176852
76,0.19814116,0.117448725
77,0.0855213,0.22790712
78,0.0447248,0.010124645
79,0.62442434,0.40865946
80,0.0447248,0.028910566
81,0.53150964,0.40968773
82,0.19478907,0.6311067
83,0.10871339,0.09882065
84,0.582514,0.40248382
85,0.09887472,0.20937088
86,0.5258664,0.35605046
87,0.0447248,0.014744761
88,0.24863878,0.16190957
89,0.28499126,0.1339198
90,0.16755036,0.34291118
91,0.28424704,0.31797412
92,0.14877531,0.3284962
93,0.078513555,0.06307265
94,0.7005567,0.34104207
95,0.5146302,0.5920133
96,0.1516297,0.09312973
97,0.49101338,0.11835314
98,0.45784423,0.557997
99,0.5972704,0.16802774
100,0.28033167,0.33984786
101,0.5138049,0.48453438
102,0.0758009,0.32246274
103,0.5358886,0.5500311
104,0.25631335,0.33005598
105,0.3656177,0.12574144
106,0.049531322,0.033671275
107,0.2787837,0.17097758
108,0.10423546,0.16788588
109,0.05942276,0.1054228
110,0.21100636,0.16984765
111,0.4259513,0.5812632
