,rerr,terr
0,2.947841,1.08109
1,3.0968678,0.86628723
2,1.7052084,0.7186261
3,1.2149351,0.9639544
4,1.7843935,0.4755096
5,2.8798814,0.62062424
6,2.2153454,0.6050818
7,1.7190487,0.38195762
8,2.6844554,0.9454352
9,1.261779,1.3026855
10,1.3914342,1.1012014
11,2.8546755,1.0073868
12,1.3921502,0.84548503
13,3.0550916,1.3421302
14,2.6489844,0.6350037
15,1.0201902,0.8979775
16,2.2169724,1.1048138
17,0.6236526,1.0506543
18,1.9608811,1.3869344
19,2.508665,0.74756324
20,0.97450817,1.3894382
21,2.5739465,0.49886984
22,1.5872321,0.8486468
23,3.0968678,0.7819637
24,2.989004,0.98849976
25,3.0640917,0.9390256
26,1.9942046,0.87624675
27,2.2730107,0.86925125
28,2.7376876,1.1847414
29,2.1850276,1.2901424
30,1.860912,1.5277472
31,1.1476747,1.3038185
32,2.2832615,0.68221694
33,2.116487,0.9221516
34,2.337309,1.2225735
35,3.0968678,1.0313431
36,1.3442335,0.8741224
37,3.0968678,1.375511
38,3.0506446,0.6882589
39,1.395029,0.880959
40,2.072539,1.0832316
41,1.7395813,1.1289747
42,1.6822065,1.1342998
43,0.6170463,1.3793727
44,1.776568,1.2050511
45,3.0244827,1.4737928
46,2.1278083,0.7341273
47,2.926343,0.7884393
48,2.963063,1.1618639
49,0.97173667,0.72626406
50,2.8083637,1.4309576
51,2.90907,1.028012
52,3.062107,1.4077703
53,1.4674897,0.975364
54,2.6355114,0.8534881
55,2.561812,0.71271473
56,1.2418888,0.821944
57,2.282343,0.76798326
58,1.7277178,1.4038444
59,1.8904352,0.56895316
60,2.819077,0.49151707
61,2.5183327,0.8618689
62,1.7426045,1.1787497
63,2.2879624,0.5460128
64,0.5280637,0.60415137
65,3.0968678,1.0178654
66,2.085403,0.9221071
67,2.8707104,1.2024372
68,2.9456384,1.2189171
69,1.4232963,1.2344711
70,2.9291732,0.43662998
71,3.0518715,1.1868861
72,2.9296992,0.97920525
73,2.0165431,0.37264922
74,1.5953699,0.80637443
75,2.2509804,1.1574428
76,2.2444649,1.3191293
77,2.4724042,1.2552572
78,2.4651613,1.0020206
79,2.5749285,0.98420846
80,1.3588889,0.92803514
81,1.7428038,0.6877756
82,1.9978591,1.2790672
83,2.039293,0.98531514
84,2.378344,1.2884767
85,0.79934466,0.89186805
86,2.3625357,1.3018754
87,3.0591242,0.9092057
88,2.596757,1.1466206
89,3.0968678,0.6322264
90,2.7347329,1.0099907
91,1.8112153,1.5879323
92,1.7982962,1.0340774
93,2.8372164,1.143467
94,2.003201,1.1534073
95,2.081542,1.246398
96,2.8254373,0.6893207
97,3.0368464,0.9190951
98,1.4753623,1.1387897
99,2.0362275,0.13265178
100,2.5741575,0.9242419
101,2.349272,1.1829998
102,2.6815724,1.1869347
103,2.4634774,0.56021
104,1.605882,1.1039704
105,1.5999557,0.8983703
106,2.1795545,1.4272835
107,2.4596252,0.9940761
108,2.444566,1.0946165
109,2.6658368,1.3345296
110,2.6986485,1.0595074
111,2.8740106,0.7980124
112,1.1956265,0.8732571
113,1.2569475,0.93366665
114,2.0574389,1.0870504
115,2.627739,1.0420096
116,2.9600322,0.90054667
117,0.73794323,0.8047527
118,0.7093832,0.8782506
119,3.0968678,1.2631059
120,2.8309135,1.1119996
121,2.8031652,1.3036671
122,2.9944751,0.9148253
123,2.2645528,0.5954365
124,2.3719,0.6673584
125,2.2848725,0.9899212
126,3.000049,0.7537582
127,3.0179758,1.200448
128,3.0747294,0.66081816
129,3.090786,0.8769014
130,1.7252586,0.73452306
131,2.3512118,1.183621
132,1.9359418,1.2386692
133,1.6276857,1.0339276
134,2.733088,0.86065036
135,2.5879388,1.0625902
136,2.3911726,1.3888959
137,2.952024,0.7474968
138,2.101379,0.6651267
139,2.0136003,1.3492823
140,2.4273002,0.6855595
141,2.970562,0.6417043
142,2.8939576,0.87221116
143,3.0087373,1.0197682
144,1.0896477,0.9260006
145,1.9530494,1.1417586
146,2.094706,1.3776917
147,2.6930006,1.0697839
148,2.2961972,1.0364416
149,1.3089371,1.6871936
150,1.3929176,1.051329
151,1.6115667,0.9930839
152,1.4948971,0.8197501
153,2.4023824,0.9529919
154,3.0968678,0.887206
155,1.6891254,1.3098994
156,2.646927,1.2595109
157,3.029592,1.0088438
158,2.9177732,0.94619423
159,1.2625756,0.79993254
160,2.8948362,0.60558015
161,2.721189,1.0694196
162,2.3407526,0.95829004
163,2.9974759,0.5834016
164,1.7159475,0.7842214
165,2.4460344,1.3118604
166,1.9565392,1.2059212
167,2.3423955,1.0559994
168,2.40945,1.019183
169,2.5130885,1.0414914
170,2.2316658,1.058442
171,2.573312,0.84135765
172,1.6469573,0.8681872
173,2.1725776,1.1107941
174,2.5377889,1.1567825
175,2.1891959,0.9061964
176,3.0968678,0.33729997
177,1.8779655,0.14626855
178,1.2355905,1.1401912
179,3.0968678,0.9576132
180,2.7191987,1.3752836
181,2.9366062,0.54985934
182,3.0332878,1.0467384
183,3.0968678,1.0184106
184,1.5658491,1.2556595
185,2.0872052,0.72635597
186,2.8245869,0.86906654
187,1.5237454,0.4314647
188,2.340853,0.9716846
189,2.4299572,0.9738016
190,2.4476132,0.6479891
191,2.5282447,1.006753
192,1.8238347,0.9685278
193,1.4989864,0.8982227
194,1.7029297,0.2690037
195,2.6824975,1.1449747
196,2.2106543,1.0421163
197,2.0729523,0.48709
198,2.3069382,1.1396384
199,1.6395551,1.4234576
200,2.675262,1.3095032
201,2.8658757,1.1946292
202,2.8754554,0.92534715
203,2.9047873,1.0354565
204,2.3610833,0.6753397
205,2.8942828,1.2896734
206,2.85107,1.3621508
207,2.1587996,1.1183124
208,1.427768,1.1623019
209,1.7218469,0.9410476
210,2.1243527,0.9970773
211,1.6761628,0.9938727
212,1.3630123,1.1007533
213,2.5022287,0.59391284
214,3.0392451,0.8749133
215,2.945691,1.0750924
216,2.4295154,1.078369
217,3.0968678,1.1223464
218,1.4188557,1.2385625
219,1.1961458,1.062113
220,2.9180222,0.8117216
221,1.5648667,1.0279208
222,2.9406931,1.0417336
223,2.537523,0.8914254
224,2.1979125,1.0403199
225,2.8021955,0.3654031
226,2.9370666,1.0096302
227,2.0412097,0.5044237
228,0.7655145,0.93938005
229,1.990916,0.7953827
230,2.854297,0.66905814
231,2.3558483,1.0577687
232,2.639264,1.3618019
233,0.5366189,0.9128244
234,2.2529054,0.8686354
235,0.61493933,1.0491163
236,1.5504473,1.1078237
237,2.7864861,1.0452441
238,2.0751364,1.0801725
239,1.6752502,1.0045003
240,3.0968678,0.7139238
241,1.8564336,1.3790303
242,1.6256162,1.0735946
243,2.3176222,1.4398234
244,1.7592988,0.8348507
245,2.0056503,1.2869204
246,2.9051185,1.164333
247,1.5021402,0.43095714
248,2.7175174,0.58766466
249,0.44273233,0.87315387
250,2.6538525,0.97832376
251,1.4773486,1.0365388
252,2.79313,1.4233718
253,1.2322056,0.14674397
254,2.7557251,1.0442764
255,3.0539088,0.69016916
256,3.0968678,0.79981786
257,2.6848638,1.0677925
258,2.1303308,0.9853021
259,3.0048842,0.72641486
260,2.657784,0.7044577
261,2.7306142,1.0893782
262,1.0206431,0.20511132
263,2.4221041,0.9778347
264,1.7610385,1.4099194
265,1.5888983,1.2708933
266,3.0760603,0.39179298
267,1.6707488,0.9096203
268,2.9332862,1.0890752
269,2.2691014,0.5298719
270,1.4561915,0.9991907
271,2.8547702,1.0586524
272,2.2702057,1.0133853
273,3.0940466,0.9712363
274,2.3682323,1.2512654
275,1.7781175,0.71235627
276,2.7156062,1.278104
277,2.9519992,0.85935587
278,1.6757458,0.9957665
279,2.100171,0.8529786
280,2.9723473,0.6976166
281,2.1946707,0.79510236
282,2.8886292,0.77098393
283,2.5507069,1.2457297
284,2.497174,1.2270741
285,2.7748392,0.9761548
286,1.6462965,0.6704217
287,2.600071,1.066531
288,2.675454,1.2999175
289,1.7754906,0.4878044
290,2.9328308,1.2093143
291,2.533748,1.2878773
292,2.4129193,1.2534853
293,2.6901898,0.7859892
294,2.7899594,0.907536
295,2.6486998,1.1174713
296,2.8209157,0.7492727
297,2.7639601,0.88835865
298,2.885003,0.9840483
299,1.9800254,1.2158982
300,1.2899692,1.0650305
301,1.6642619,1.1379137
302,2.7083516,0.6459087
303,1.6177306,1.033952
304,2.0897942,0.6590774
305,2.445881,1.0327066
306,2.6583326,1.0175338
307,0.82890874,1.0615164
308,1.8426938,0.92067116
309,2.2446835,0.42538184
310,2.855118,1.1471719
311,2.30678,1.1041195
312,2.6376817,1.0234673
313,1.5128667,0.801271
314,2.3381786,1.2809122
315,1.3499572,0.5935152
316,2.5497322,1.069648
317,2.524894,0.5843416
318,2.647937,0.57432866
319,3.0044336,1.3602539
320,1.9027776,0.9087472
321,2.5931582,1.1596658
322,2.0060215,0.70816886
323,1.2531105,1.1405084
324,2.2169187,0.9886851
325,1.44515,0.9055439
326,2.2566543,0.74193496
327,2.9418857,0.6277291
328,2.7617962,1.4064783
329,1.930788,0.65595526
330,2.877953,1.3042766
331,2.9124823,1.2482722
332,1.3359984,1.1354344
333,2.6448379,1.4775401
334,2.1907177,0.93855804
335,2.4733253,1.1209948
336,2.8398015,1.2767435
337,2.876852,0.12062937
338,1.3020153,0.9915316
339,2.9825602,0.44930708
340,3.0968678,0.5906045
341,2.8938317,0.5085269
342,1.5791569,1.0150045
343,2.238124,1.2427586
344,2.0343766,0.44790533
345,1.6604971,1.124746
346,1.7818509,0.9828257
347,3.0968678,0.8948037
348,2.6337585,1.284878
349,0.5341671,1.0660685
350,1.8145653,0.58822924
351,1.7486066,1.2182382
352,2.6877768,1.0126148
353,2.9223578,0.96295196
354,0.59857154,0.63508606
355,1.3719512,0.28670514
356,0.6958452,1.3242594
357,3.0230992,0.8019522
358,2.112442,1.0389637
359,1.1479534,0.4773966
360,1.6521417,0.8767191
361,1.2274126,0.87505573
362,1.169399,1.3797177
363,1.8208301,1.1858189
364,2.877806,0.70516557
365,1.010805,1.0019621
366,2.9794488,0.43598598
367,1.3432188,0.98613876
368,2.2853744,0.65540516
369,3.0968678,0.9101889
370,2.7739177,1.1005
371,1.5341507,0.8065091
372,2.1296167,1.0641748
373,2.794304,0.7840573
374,1.5612364,0.74482405
375,2.7652278,1.1910083
376,0.5940704,0.8900668
377,2.6861985,0.57947797
378,1.5944722,1.0627927
379,1.4430465,1.2253681
380,2.4061842,0.5931063
381,2.6135828,0.8867168
382,1.5669824,1.3268851
383,2.1278248,0.66106683
384,1.1166604,0.9406776
385,1.7119193,0.89139163
386,2.3789294,0.8479838
387,2.1093588,0.8946337
388,1.9313105,0.7580889
389,2.2240489,1.3074287
390,2.67775,0.58366907
391,2.585241,0.9548523
392,2.4956698,0.9202641
393,3.0968678,0.9432449
394,2.72122,1.0464393
395,2.097928,0.89750516
396,3.0117326,0.5191227
397,2.8551955,0.8353867
398,0.88634837,1.1016462
399,0.43287447,1.0765005
400,1.8851471,0.75883895
401,1.7163196,0.65715444
402,2.020026,0.83554006
403,2.8727279,1.1199944
404,1.9107194,0.6473503
405,2.3154292,0.84170806
406,2.3468986,1.0285999
407,3.0257888,1.2794521
408,2.9561174,0.8726615
409,1.5259367,1.3401233
410,2.796231,1.1913985
411,1.3913722,0.7597487
412,2.2024565,1.1344721
413,3.0968678,0.6904054
414,2.0163074,1.3188461
415,1.9814677,0.6704116
416,2.357285,1.0154408
417,2.271381,0.9144606
418,2.1840844,1.1496179
419,1.7497493,1.1853207
420,2.3270702,0.9491128
421,2.0887272,0.6818535
422,3.0752714,1.1215373
423,2.620894,0.7226552
424,2.7672987,0.93610674
425,3.0747142,1.1845578
426,2.6747081,1.1568729
427,1.9371238,0.93437666
428,2.658978,0.9383051
429,1.567984,1.209244
430,2.4548953,1.2500888
431,2.8526762,0.98493576
432,2.9402647,0.56582403
433,1.9838672,1.141779
434,3.008639,0.6765211
435,2.2919178,1.0694854
436,1.5254681,1.3614899
437,1.9083478,0.7705097
438,1.9281939,1.2391424
439,1.1581702,1.1266032
440,2.990617,0.90329593
441,1.1166943,1.1195546
442,2.9357295,1.1024604
443,0.7470729,0.8253694
444,1.0900711,0.9823061
445,1.1481965,1.5284553
446,2.7105496,1.2514884
447,2.5799274,1.1678075
448,1.9703074,1.0436008
449,3.0402224,1.0300716
450,1.2296433,0.9689791
451,1.8052227,0.82968515
452,2.4005446,0.84973663
453,2.4358997,0.65115905
454,1.5358615,1.0344481
455,0.717166,1.025678
456,1.495302,0.81795347
457,2.5359497,1.244211
458,2.2878337,1.0620269
459,2.947494,1.1085534
460,2.1678095,1.0319415
461,2.1548855,1.2273848
462,2.1133838,0.6012341
463,0.94202006,0.4286288
464,1.8998501,1.1111423
465,2.3478746,1.0928792
466,2.7490685,1.0905956
467,2.8200939,1.1109577
468,2.5269856,1.2981944
469,2.5160985,0.96398926
470,1.0666094,0.52316695
471,1.2797933,0.97698027
472,2.1405404,0.67509043
473,2.727736,1.1892328
474,2.3238869,0.6175494
475,1.8661234,0.6365266
476,2.0280902,0.8053146
477,2.9165788,0.44541076
478,1.2132306,0.8083065
479,1.5410374,0.6133391
480,2.7199132,1.1742529
481,1.5695363,0.91262364
482,2.5465956,1.183325
483,2.638567,1.1277406
484,1.9235905,0.88621837
485,2.7842174,1.1031767
486,2.7867172,1.1079245
487,0.6511534,0.5697428
488,2.831715,0.86058104
489,2.791992,0.9557953
490,2.1405554,1.1677713
491,2.0440285,0.98260444
492,3.0911665,1.2017875
493,1.810502,0.91138583
494,0.75115305,1.0751984
495,2.7240086,1.0301415
496,2.7318096,0.6618305
497,2.4219897,1.0152367
498,2.8456495,1.4421997
499,2.8284838,1.1294527
500,2.0918715,1.1872258
501,2.710767,1.2359926
502,2.2219546,0.6214867
503,2.77317,0.91762125
504,2.4327703,1.4053749
