,rerr,terr
0,0.9362031,0.0027577127
1,1.9909942,0.488732
2,2.0818188,0.24838954
3,1.481979,0.26425278
4,0.55331814,0.07284436
5,2.7754154,0.10971394
6,3.057538,0.09314765
7,1.4917552,0.40128216
8,0.0447248,0.3676589
9,0.59741324,0.4150327
10,3.0968678,0.019578539
11,2.8072777,0.10077599
12,3.023185,0.13732268
13,0.19499405,0.36772686
14,1.6206605,0.37857866
15,0.45636353,0.21600734
16,1.886725,0.109789334
17,2.565006,0.49935383
18,0.96165526,0.3160143
19,2.7918181,0.110242225
20,2.2703753,0.21274367
21,1.287409,0.051120657
22,2.8710284,0.12369082
23,0.802086,0.06532132
24,2.9497845,0.4702609
25,1.8544664,0.38244957
26,1.5935875,0.032740053
27,3.0532188,0.03407269
28,0.33115444,0.48434547
29,0.507688,0.4851941
30,2.9102075,0.37173983
31,1.7776153,0.29823872
32,2.7951603,0.20693159
33,0.10533985,0.29673275
34,2.3293629,0.24075422
35,1.375171,0.23468177
36,0.10689414,0.22512493
37,2.7213428,0.08692302
38,1.985205,0.46147123
39,0.59127444,0.3948338
40,3.0360546,0.486181
41,0.9845361,0.28788832
42,1.6810566,0.44634765
43,3.0812259,0.31568077
44,0.58703345,0.26682928
45,0.8014108,0.005865599
46,1.5127035,0.3143955
47,1.4315313,0.0407526
48,0.4098008,0.41175747
49,2.9960754,0.09051542
50,1.4392676,0.042274848
51,2.9026744,0.34415838
52,1.7247322,0.26542407
53,0.5467819,0.3488381
54,0.8460738,0.08988335
55,1.6692857,0.21043019
56,0.60201746,0.17959745
57,0.21370937,0.4650878
58,1.4387388,0.40907314
59,0.062586464,0.46598172
60,2.4525406,0.41996923
61,3.0968678,0.26061615
62,1.9532328,0.3441003
63,1.9419343,0.2763605
64,0.95168924,0.1899694
65,0.89322346,0.14382136
66,0.06429753,0.37064946
67,2.7810385,0.33886778
68,0.5897338,0.43621024
69,3.0968678,0.014318053
70,1.1041486,0.19177225
71,1.8437941,0.43594724
72,0.10580931,0.030772012
73,1.4072939,0.14876378
74,3.0573757,0.45595053
75,0.73116976,0.0066219643
76,2.9577513,0.06192937
77,1.6253417,0.2466638
78,2.0653746,0.12007145
79,3.0237713,0.11524706
80,0.0447248,0.3623324
81,2.0132544,0.40995213
82,2.9315166,0.16206276
83,1.6376694,0.060789935
84,1.8372574,0.2795494
85,2.8969986,0.17885716
86,2.5924268,0.08818482
87,0.50426096,0.17293003
88,2.7990394,0.46942583
89,0.91711485,0.4854803
90,0.6762767,0.023128211
91,1.5697479,0.247775
92,0.23045851,0.021751069
93,1.6175572,0.11961909
94,2.8399823,0.35103104
95,0.89926815,0.116647534
96,1.6674547,0.3672134
97,0.07246765,0.36820292
98,1.8642628,0.23081155
99,2.4535537,0.30744702
100,0.16788599,0.40517598
101,2.7087893,0.111861736
102,1.4745829,0.09911712
103,1.7510829,0.47473472
104,1.7170665,0.24277192
105,3.0595036,0.022307111
106,2.609534,0.10961696
107,1.7621902,0.21360128
108,1.6778175,0.39117593
109,1.372024,0.05522513
110,0.60895705,0.32233858
111,2.1682098,0.34260672
112,1.5284543,0.062710986
113,0.9916623,0.36917624
114,0.6172179,0.18070838
115,1.4681622,0.24282248
116,2.695426,0.03465836
117,2.2437453,0.026970753
118,3.0271995,0.4252162
119,2.798642,0.13686113
120,2.443174,0.23598078
121,2.0409808,0.10302685
122,0.675409,0.3658622
123,3.0575957,0.18467006
124,0.0505301,0.15738001
125,1.8617378,0.0027879921
126,1.5712337,0.154072
127,0.82007915,0.0023615826
128,3.0178232,0.14965822
129,2.3045604,0.40248227
130,1.1962276,0.17076828
131,0.1437598,0.42169932
132,2.0212004,0.42143223
133,1.632077,0.3416955
134,1.6578506,0.33790573
135,1.3826938,0.04441912
136,0.10062127,0.2841857
137,1.6035098,0.24240345
138,0.61689305,0.24894038
139,1.0928638,0.382942
140,2.3509374,0.011050916
141,0.7211566,0.24152377
142,1.6810058,0.1777962
143,1.7681093,0.31327057
144,1.8849638,0.3110051
145,2.6544244,0.13248013
146,2.3751163,0.04481978
147,1.2706735,0.1486338
148,0.82454526,0.10215031
149,2.8404512,0.45087495
150,0.3097463,0.4957723
151,2.6575565,0.13549115
152,1.2129421,0.21220326
153,2.026662,0.2945674
154,0.8927152,0.15088719
155,2.85948,0.2155754
156,2.4121063,0.28211865
157,0.7710581,0.0027845812
158,1.3866122,0.0843454
