,rerr,terr
0,0.34348857,0.30187553
1,0.2254418,0.35165226
2,0.42838243,0.21165504
3,0.12687472,0.24581642
4,0.48700634,0.42416695
5,0.14586303,0.05715542
6,0.19407398,0.5394301
7,0.20241715,0.12835057
8,0.6253739,0.34059936
9,0.38141277,0.5236546
10,0.1557637,0.21006204
11,0.3776536,0.20016615
12,0.15517166,0.11442013
13,0.31759235,0.2395433
14,0.21912436,0.11085124
15,0.3781066,0.51335806
16,0.18095705,0.17262232
17,0.30552047,0.6685426
18,0.29000095,0.25494894
19,0.12163838,0.32612142
20,0.67482746,0.29372144
21,0.31669557,0.27060857
22,0.4167693,0.259929
23,0.3658687,0.11199648
24,0.0447248,0.0021901887
25,0.37035674,0.33292913
26,0.3865058,0.6732206
27,0.22821625,0.48908612
28,0.272232,0.658396
29,0.40749502,0.19295336
30,0.09548495,0.1624881
31,0.3415602,0.28255522
32,0.43750644,0.3034966
33,0.4558439,0.2908247
34,0.06851214,0.032777634
35,0.0447248,0.1436004
36,0.36167595,0.39546424
37,0.45866907,0.53273314
38,0.2705582,0.25862104
39,0.53130263,0.58454704
40,0.04849971,0.043265805
41,0.061960083,0.038825184
42,0.2563632,0.18989979
43,0.08451333,0.15357834
44,0.071150064,0.17683867
45,0.17866677,0.17429754
46,0.5756869,0.5266153
47,0.0447248,0.12935753
48,0.0447248,0.031194082
49,0.1979685,0.20301317
50,0.2818992,0.3941236
51,0.49016473,0.6059382
52,0.41513956,0.31456956
53,0.21876596,0.13743655
54,0.0447248,0.023173349
55,0.0447248,0.012648489
56,0.23180734,0.15177165
57,0.09317134,0.12150538
58,0.0447248,0.009388017
59,0.4813689,0.5674584
60,0.17801763,0.034354705
61,0.309344,0.25415057
62,0.29595718,0.27638683
63,0.52653044,0.40108377
64,0.18558294,0.1161901
65,0.2180061,0.17928089
66,0.04876944,0.05550962
67,0.26000032,0.5810149
68,0.14056511,0.07208161
69,0.3329748,0.7227084
70,0.1837058,0.30220166
71,0.073305786,0.21172556
72,0.49940592,0.46483037
73,0.3661921,0.4543221
74,0.16793378,0.06685706
75,0.060744934,0.084109135
76,0.44212145,0.6580791
77,0.3968032,0.6325248
78,0.22497363,0.6015347
79,0.29316086,0.15656443
80,0.25828046,0.26351094
81,0.42078638,0.6458904
82,0.07516543,0.07853084
83,0.4744878,0.5107109
84,0.29440618,0.38968953
85,0.4335174,0.4727243
86,0.06257121,0.10626322
87,0.35030702,0.68610156
88,0.5665799,0.53554267
89,0.36667222,0.6884879
