,rerr,terr
0,2.3839447,0.69218403
1,1.1551459,1.1663898
2,0.67669654,1.0674607
3,1.8445158,0.7169686
4,2.7258759,1.2565033
5,2.2261035,1.0088654
6,1.3796216,0.64329594
7,2.524401,0.6362265
8,2.885386,0.4030961
9,0.5940295,1.0647758
10,2.4863539,1.280746
11,3.0968678,0.7828529
12,2.7904696,0.93244475
13,2.6196446,0.65760213
14,2.526103,1.0559756
15,1.2741205,1.0678543
16,2.6734288,0.85110056
17,1.8634212,1.0497144
18,2.306774,1.575938
19,2.6525605,0.37328437
20,0.6415898,1.0209427
21,2.2908702,0.7927818
22,2.177184,1.176999
23,2.0077317,0.9170991
24,2.8023882,1.1587139
25,1.5153651,1.1220422
26,2.0966787,1.241535
27,2.4081209,0.7682548
28,2.4150164,1.0619979
29,1.4461001,1.0375613
30,2.163379,0.31109154
31,3.0968678,0.7464932
32,2.0338635,1.28429
33,2.358005,1.1251854
34,2.3662434,0.7633538
35,2.2092924,0.6284155
36,2.920667,0.9464657
37,2.1273913,0.43015054
38,1.9473393,0.7759933
39,2.0006702,1.185976
40,0.45119613,0.930983
41,2.9449632,0.9989631
42,2.956997,1.3285097
43,1.6761081,0.9266437
44,2.4300456,0.9971113
45,2.7722812,1.0293936
46,2.020573,1.5870905
47,2.5533733,1.2160945
48,1.8504596,0.9028439
49,2.15962,0.77666676
50,1.3995568,1.0281068
51,2.732603,1.3984821
52,2.3944705,0.66511303
53,2.502285,0.595347
54,2.978944,1.2666065
55,2.8948135,1.3583703
56,1.8576388,0.8059458
57,2.7186663,1.0842825
58,2.1115174,0.8642788
59,3.0739727,1.4902998
60,2.1741805,0.99658304
61,2.0844116,0.9883153
62,2.928648,0.87181544
63,2.1474996,1.333452
64,3.0176907,1.2634938
65,1.6597872,0.46804708
66,2.6504307,0.4415298
67,2.53992,0.7785033
68,2.4953845,0.97811
69,1.719307,1.2063733
70,1.0044839,0.80587476
71,1.8480829,1.024439
72,2.6604533,0.8480758
73,1.4348315,1.0353795
74,2.3048487,1.1682111
75,0.9835409,1.3266697
76,2.0261226,0.29692492
77,3.0010462,1.0358713
78,1.5241778,0.58337814
79,1.5652139,0.7805458
80,1.2179905,0.93341863
81,1.952019,1.1159263
82,2.3912988,1.3437107
83,2.064795,1.1535631
84,2.451899,0.8312912
85,0.4590413,1.253707
86,2.467164,0.7073438
87,2.955117,1.0823936
88,1.904604,1.1295941
89,2.4962754,0.80463934
90,2.1856897,1.2391508
91,2.9399364,1.5523511
92,1.8204682,1.1942106
93,2.612901,1.0975887
94,1.7619507,0.81650174
95,3.0968678,1.2752556
96,2.5121648,0.45348436
97,2.2818334,0.88325274
98,2.8872051,1.3190248
99,2.389945,0.4085205
100,2.607914,0.9705096
101,3.055357,1.0444605
102,2.4459395,0.66237295
103,1.9426268,1.1095021
104,2.0224943,0.86188567
105,2.5757918,0.68448275
106,3.0757027,0.73559743
107,2.7105813,1.0482358
108,2.1463962,0.888862
109,2.8014925,0.9970713
110,1.4297951,0.84669846
111,2.6913037,1.0213788
112,2.3341684,0.8965783
113,2.5766091,1.3229278
114,2.4079165,1.3472782
115,2.7718983,1.020277
116,3.0968678,0.20102392
117,1.199086,0.40320548
118,2.75683,0.69088566
119,0.61296237,1.1694748
120,1.2124326,0.8507132
121,1.3239506,0.41795075
122,1.9293895,0.8318334
123,1.669073,0.9761379
124,1.6607432,0.5586588
125,2.9779983,0.8441792
126,1.0552703,0.72420084
127,2.322647,1.1405615
128,1.9423065,1.0470773
129,2.6591873,0.92480135
130,2.4400046,1.1602124
131,2.3578494,1.3102483
132,2.0236669,0.6931396
133,2.4939702,1.5732214
134,2.079379,0.9858122
135,2.449315,1.1866645
136,2.6352434,0.7335485
137,1.6260574,1.1562618
138,2.5120063,0.72068125
139,2.7849379,0.8764873
140,1.1511368,0.7205558
141,2.6403105,0.9805909
142,2.2112532,1.0204059
143,1.7393644,0.8171325
144,2.5891366,1.083983
145,1.1693015,1.5319391
146,0.70330757,1.4387982
147,2.1511455,0.90030336
148,3.080734,1.3123395
149,2.1580782,1.1220896
150,0.46002555,0.99351877
151,1.4841964,1.132773
152,2.7562618,1.1528734
153,3.0968678,0.9224432
154,2.7807164,1.0335684
155,2.4652658,0.46956858
156,3.0599678,1.2956675
157,1.9049278,1.0204747
158,2.8247447,0.9976448
159,2.5052083,1.2824396
160,2.7313952,0.8319925
161,2.81142,0.45978683
162,1.5048196,1.3098601
163,2.8891785,1.1763743
164,2.9669995,1.0062872
165,1.9502494,1.1077306
166,1.6301558,0.6838005
167,2.778828,1.1031443
168,2.6139889,1.2476213
169,3.0134206,1.0515496
170,1.0627708,1.4356811
171,2.2084622,1.3636688
172,1.0747166,0.74562275
173,2.8654842,0.3258546
174,1.3961828,1.1103851
175,1.8886186,0.65649754
176,2.2582192,0.5558833
177,2.614705,1.5333322
178,1.805614,1.1885808
179,3.0523572,1.3653351
180,3.0968678,1.1780463
181,2.591422,0.6048849
182,0.42109123,1.0349044
183,3.0680804,0.7189158
184,0.68800956,0.9982286
185,1.4386425,0.8713601
186,3.0968678,0.85903114
187,1.3308856,1.1621321
188,3.0369809,0.6297422
189,2.1346915,0.84286916
190,3.0725706,0.9845694
191,0.8478406,1.1174446
192,2.555978,1.1643842
193,1.9203361,1.4316311
194,1.1139803,1.2081892
195,2.3390787,1.2917491
196,3.0577643,0.8402963
197,1.6997318,0.7310129
198,2.215181,0.6544923
199,2.8373864,1.2183281
200,0.73725545,1.004535
201,2.5403662,0.15419476
202,2.848895,1.2669497
203,3.0531385,1.2260655
204,1.8104311,1.0922071
205,1.0669849,1.3647248
206,1.8611296,1.2879366
207,2.261702,1.0010368
208,2.8064537,1.0433023
209,2.6110215,0.6129151
210,2.8178127,0.974094
211,2.4252,1.1213133
212,3.0277355,1.31639
213,2.2145653,1.1123079
214,2.216405,0.8138218
215,2.2464259,1.2583723
216,2.4736953,0.39834002
217,2.0500326,0.41808233
218,2.562041,1.101124
219,2.4600658,0.8816359
220,2.859303,0.86558634
221,2.3802311,1.1453171
222,2.201664,0.9411943
223,2.543184,0.24316023
224,3.059489,0.8412268
225,2.7092693,1.0455703
226,1.5754136,0.85802376
227,2.2805705,1.0708196
228,3.0968678,1.0507845
229,2.7295814,1.1859559
230,2.2650642,0.9197547
231,1.8150003,0.9932678
232,0.35109258,0.79936457
233,1.551313,1.1635237
234,2.203344,1.4718568
235,3.0968678,0.8287101
236,2.3035092,1.0020257
237,3.0882988,0.62546337
238,2.237784,1.4958044
239,2.642701,1.1157972
240,2.4957886,0.8998781
241,2.1314564,1.1796274
242,3.091881,0.7015662
243,1.1845262,1.2689366
244,2.9324894,1.0364462
245,1.5158569,1.0807922
246,3.0968678,0.7118551
247,2.45267,1.0076721
248,2.8385756,0.83284247
249,2.585476,0.99746585
250,1.6317403,1.0640261
251,2.4567454,0.6643887
252,2.0285769,0.5915656
253,2.557813,1.4478045
254,1.8367416,0.85553944
255,2.0620847,1.2593465
256,2.9525034,0.53396034
257,2.6862848,0.81448793
258,2.6917303,0.9045071
259,2.2771292,0.9610259
260,1.9470015,0.64414155
261,1.7060713,0.9267021
262,1.7999713,1.1952628
263,2.076891,0.8425885
264,3.0059423,0.4107816
265,2.717619,0.6271336
266,1.8617307,0.8699029
267,2.2196617,0.95118123
268,2.0448358,0.9460806
269,1.9140034,0.91939163
270,2.5957136,1.1627828
271,2.937281,0.8992428
272,2.7661066,0.8966106
273,1.9778936,1.1303028
274,2.170392,0.6685453
275,1.9751853,0.64743555
276,0.32604837,0.57229775
277,1.3935614,1.0572106
278,2.8291662,1.209224
279,2.0043669,1.1820858
280,0.9940627,1.3886875
281,1.0894616,1.173421
282,2.848823,1.5250579
283,1.4556962,1.1396238
284,2.3869252,0.8497496
285,1.6840471,1.1347681
286,2.9934626,0.9557276
287,2.5733335,1.3067434
288,1.7405753,0.49160135
289,2.327326,0.84346384
290,1.9219185,0.7586944
291,1.9901083,1.2875907
292,2.5635808,1.2409385
293,1.8391663,1.405894
294,1.007573,1.0832815
295,2.7177713,0.62093323
296,2.6878076,0.55267906
297,2.134027,0.97717696
298,2.653722,1.391577
299,2.4625332,0.91275185
300,2.4445097,1.4851706
301,2.7737775,0.627279
302,2.1273153,1.1357362
303,2.8616762,1.2764823
304,2.7645493,1.2387289
305,1.3506504,1.2561877
306,1.6789008,1.0043437
